,metal,linker_SMILES
265,Ni,O=C(O)c1cc(O)c(C(=O)O)cc1O
266,Co,O=C(O)c1cc(C(=O)O)cc(-c2ccc(C(=O)O)nc2)c1
267,Mn,O=C(O)c1cc(C(=O)O)cc(-c2ccc(C(=O)O)nc2)c1
268,Ni,O=C(O)c1cc(C(=O)O)cc(-c2ccc(C(=O)O)nc2)c1
269,Cu,O=C(O)c1cccc2ncccc12
270,Co,O=C(O)c1cccc2ncccc12
271,Ni,O=C(O)c1cccc2ncccc12
272,Zn,O=C(O)c1cccc2ncccc12
273,Cu,O=P(O)(O)c1ccc2cc(P(=O)(O)O)ccc2c1
274,Cu,Sc1ccncc1
275,Cd,c1ccc(Cc2nnn[nH]2)cc1
276,Zn,Cc1c(COc2ccc(C(=O)O)cc2)c(C)c(COc2ccc(C(=O)O)cc2)c(C)c1COc1ccc(C(=O)O)cc1
277,Cu,c1cc(CNNCc2ccncc2)ccn1
278,Cu,C/C(=N\N[C@@H](C)c1ccncc1)c1ccncc1
279,Cd,O=C(O)c1ccc(OCC(COc2ccc(C(=O)O)cc2)(COc2ccc(C(=O)O)cc2)COc2ccc(C(=O)O)cc2)cc1
280,K,Cc1cccc(C)c1N/C(=N/C(=O)c1ccccc1)c1ccccc1
281,La,O=C(O)CCCC(=O)O
282,Mn,O=C(O)C1C=CN(CCCN2C=CC(C(=O)O)C=C2)C=C1
283,Cu,Nc1ncccn1
284,Mn,O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1C(=O)O
285,Zn,O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1C(=O)O
286,U,O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O
287,Zn,N[C@H](CC(=O)O)c1cccnc1
288,Zn,O=C(O)/C=C/c1cccnc1
289,Cd,N[C@H](CC(=O)O)c1cccnc1
290,Th,O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O
291,Cd,O=C(O)c1cc(C(=O)O)cc(-c2nnn[nH]2)c1
292,Co,O=C(O)C1=NC(c2cccc(Cl)c2)=N[C@H]1C(=O)O
293,La,O=C(O)CN(CC(=O)O)CC(=O)O
294,Dy,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3ccc(C(=O)O)cc3)c2)cc1
295,Mn,O=C(O)c1cccc(-c2cc(C(=O)O)c(-c3cccc(C(=O)O)c3)cc2C(=O)O)c1
296,Cu,Nc1c(-c2ccc(C(=O)O)cc2)cc(C(=O)O)cc1-c1ccc(C(=O)O)cc1
297,Cu,C[Si](C)(c1cc(C(=O)O)cc(C(=O)O)c1)c1cc(C(=O)O)cc(C(=O)O)c1
298,Ca,O=C(O)c1ccc(/C(=C\C=C(\c2ccccc2)c2ccc(C(=O)O)cc2)c2ccccc2)cc1
299,Eu,O=C(O)c1cc(NNc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1
300,Li,OS(O)(O)c1cccnc1
301,Cu,c1cc(-c2ccncc2)ccn1
302,Cu,Cc1nnc(C)[nH]1
303,Cu,Cc1n[nH]c(C)n1
304,Cu,CCCc1nnc(CCC)[nH]1
305,Nd,O=C(O)c1nccnc1C(=O)O
306,Cu,Cc1nccn1C/C=C\Cn1ccnc1C
307,Zn,Nc1c(-c2cc(C(=O)O)cc(C(=O)O)c2)cc(F)cc1-c1cc(C(=O)O)cc(C(=O)O)c1
308,Cu,NC1C(c2cc(C(=O)O)cc(C(=O)O)c2)=CC(F)(F)C=C1c1cc(C(=O)O)cc(C(=O)O)c1
309,Gd,O=C(O)c1ccc(N(c2ccc(C(=O)O)cc2)c2ccc(C(=O)O)cc2)cc1
310,Zn,[C]CCC/C=C\CCCC(=O)O
