,2253
1234,-0.0014202745
1235,-0.0044578956
1236,-0.0023391193
1237,-0.0016728041
1238,-0.002805051
1239,-0.001826687
1240,-0.0012020442
1241,-0.0022671083
1242,-0.0008919621
1243,-0.0028116
1244,-0.003956302
1245,-0.0018225654
1246,-0.0025672805
1247,-0.0066038254
1248,-0.0011802644
1249,-0.000802991
1250,-0.00087816664
1251,-0.004783403
1252,-0.0010548037
1253,-0.0009606863
1254,-0.0008693446
1255,-0.0015350695
1256,-0.00076894986
1257,-0.0020680826
1258,-0.0067624035
1259,-0.0004217122
1260,-0.0013563295
1261,-0.0034165436
1262,-0.0009044241
1263,-0.0038983067
1264,-0.0022151996
1265,-0.0016340362
1266,-0.00091414136
1267,-0.00086209446
1268,-0.0032015406
1269,-0.0015706441
1270,-0.0022721428
1271,-0.0011678231
1272,-0.007613396
1273,-0.0005457815
1274,-0.0008165234
1275,-0.009213325
1276,-0.0038904173
1277,-0.0018834928
1278,-0.003540354
1279,-0.0019430204
1280,-0.0013101643
1281,-0.0014375217
1282,-0.005716855
1283,-0.0011135585
1284,-0.006765901
1285,-0.0015754261
1286,-0.0032676253
1287,-0.0015929583
1288,-0.0013343191
1289,-0.0061971624
1290,-0.0048013544
1291,-0.0045986692
1292,-0.0012616356
1293,-0.0019438986
1294,-0.0019248512
1295,-0.007279417
1296,-0.0028383317
1297,-0.0063621504
1298,-0.0062665613
1299,-0.001401703
1300,-0.002229568
1301,-0.0038300033
1302,-0.0010044015
1303,-0.0030723186
1304,-0.002606242
1305,-0.00065548724
1306,-0.0035498631
1307,-0.0020308406
1308,-0.0008810431
1309,-0.00073184876
1310,-0.0018850547
1311,-0.004402607
1312,-0.00070823834
1313,-0.000980585
1314,-0.0035386703
1315,-0.0031749397
1316,-0.004804323
1317,-0.0045868903
1318,-0.0031832145
1319,-0.0036613024
1320,-0.0013706962
1321,-0.004038832
1322,-0.0018979408
1323,-0.0019554817
1324,-0.0007446275
1325,-0.0010029583
1326,-0.0019455717
1327,-0.0029980296
1328,-0.0016116024
1329,-0.0010745638
1330,-0.004539839
1331,-0.0023465008
1332,-0.0012592901
1333,-0.0048245615
1334,-0.0020761618
1335,-0.0031301258
1336,-0.0016335075
1337,-0.005965488
1338,-0.006401073
1339,-0.0060864515
1340,-0.0023459285
1341,-0.0036355583
1342,-0.0009391838
1343,-0.0045190784
1344,-0.0057351273
1345,-0.0032698726
1346,-0.003698612
1347,-0.0010941488
1348,-0.0018314966
1349,-0.00065093517
1350,-0.0072649824
1351,-0.0045717377
1352,-0.0022689123
1353,-0.003907088
1354,-0.005225259
1355,-0.0018042573
1356,-0.004586315
1357,-0.0021653515
1358,-0.006852613
1359,-0.0010830138
1360,-0.002812449
1361,-0.0015511482
1362,-0.008094417
1363,-0.0021129616
1364,-0.0018868766
1365,-0.0015708562
1366,-0.0026077642
1367,-0.0014411656
1368,-0.002524335
1369,-0.0058741886
1370,-0.0034004617
1371,-0.002520781
1372,-0.0015390938
1373,-0.00071146124
1374,-0.0011102329
1375,-0.0015613042
1376,-0.0013675804
1377,-0.001617292
1378,-0.0016340937
1379,-0.00130275
1380,-0.0018975842
1381,-0.0008476371
1382,-0.0020794952
1383,-0.003138565
1384,-0.005070747
1385,-0.0035743993
1386,-0.004153981
1387,-0.004841738
1388,-0.0034739436
1389,-0.0010555407
1390,-0.0010495434
1391,-0.0042549404
1392,-0.0026931062
1393,-0.001312484
